Year,Date,Event,Heat,Place,Name,Country,Mark,Reaction Time (s),Medal,Time,Qualified or Season Best,Country
2000,22-Sep,Female 100,7,1,Chandra STURRUP,BAHBAH,11.31 Q,0.18,,11.31,Q,BAH
2000,22-Sep,Female 100,7,2,Mercy NKU,NGRNGR,11.41 Q,0.196,,11.41,Q,NGR
2000,22-Sep,Female 100,7,3,Natalya IGNATOVA,RUSRUS,11.54 Q,0.187,,11.54,Q,RUS
2000,22-Sep,Female 100,7,4,Marcia RICHARDSON,GBRGBR,11.62,0.201,,11.62,,GBR
2000,22-Sep,Female 100,7,5,Paraskevi PATOULIDOU,GREGRE,11.65,0.216,,11.65,,GRE
2000,22-Sep,Female 100,7,6,Joanna HOAREAU,SEYSEY,12.01,0.261,,12.01,,SEY
2000,22-Sep,Female 100,7,7,Akonga NSIMBO,CODCOD,12.51 NR,0.234,,12.51,NR,COD
2000,22-Sep,Female 100,7,8,Tamara SHANIDZE,GEOGEO,12.56,0.273,,12.56,,GEO
2000,22-Sep,Female 100,7,9,Fatou DIENG,MTNMTN,13.69,0.201,,13.69,,MTN
2000,22-Sep,Female 100,8,1,Debbie FERGUSON-MCKENZIE,BAHBAH,11.10 Q,0.19,,11.1,Q,BAH
2000,22-Sep,Female 100,8,2,Xuemei LI,CHNCHN,11.25 Q SB,0.185,,11.25,Q,CHN
2000,22-Sep,Female 100,8,3,Torri EDWARDS,USAUSA,11.34 Q,0.159,,11.34,Q,USA
2000,22-Sep,Female 100,8,4,Cydonie MOTHERSILLE,CAYCAY,11.38 q,0.226,,11.38,q,CAY
2000,22-Sep,Female 100,8,5,Ameerah BELLO,ISVISV,11.64,0.245,,11.64,,ISV
2000,22-Sep,Female 100,8,6,Grace DINKINS,LBRLBR,11.79,0.174,,11.79,,LBR
2000,22-Sep,Female 100,8,7,Anais OYEMBO,GABGAB,12.19 SB,0.158,,12.19,SB,GAB
2000,22-Sep,Female 100,8,8,Mariam Mohamed Hadi AL HILLI,BRNBRN,13.98 SB,,,13.98,SB,BRN
2000,22-Sep,Female 100,9,1,Merlene OTTEY,JAMJAM,11.24 Q,0.235,,11.24,Q,JAM
2000,22-Sep,Female 100,9,2,Petya PENDAREVA,BULBUL,11.30 Q,0.198,,11.3,Q,BUL
2000,22-Sep,Female 100,9,3,Melinda GAINSFORD-TAYLOR,AUSAUS,11.34 Q,0.191,,11.34,Q,AUS
2000,22-Sep,Female 100,9,4,Natalya POMOSHCHNIKOVA-VORONOVA,RUSRUS,11.47,0.188,,11.47,,RUS
2000,22-Sep,Female 100,9,5,Louise AYÉTOTCHÉ,CIVCIV,11.52,0.267,,11.52,,CIV
2000,22-Sep,Female 100,9,6,Irene TRUICE JOSEPH,INAINA,11.93,0.233,,11.93,,INA
2000,22-Sep,Female 100,9,7,Shu-Chuan CHEN,TAITAI,12.22,0.241,,12.22,,TAI
2000,22-Sep,Female 100,9,8,Sarah TONDE,BURBUR,12.56,0.216,,12.56,,BUR
2000,22-Sep,Female 100,9,9,Sandjema BATOULI,COMCOM,13.58,0.253,,13.58,,COM
2000,22-Sep,Female 100,10,1,Chryste GAINES,USAUSA,11.06 Q,0.208,,11.06,Q,USA
2000,22-Sep,Female 100,10,2,Tayna LAWRENCE,JAMJAM,11.14 Q,0.165,,11.14,Q,JAM
2000,22-Sep,Female 100,10,3,Vida NSIAH,GHAGHA,11.18 Q NR,0.217,,11.18,Q,GHA
2000,22-Sep,Female 100,10,4,Esi BENYARKU,CANCAN,11.55,0.185,,11.55,,CAN
2000,22-Sep,Female 100,10,5,Xiujun ZENG,CHNCHN,11.63,0.284,,11.63,,CHN
2000,22-Sep,Female 100,10,6,Kadiatou CAMARA,MLIMLI,11.65 NR,0.249,,11.65,NR,MLI
2000,22-Sep,Female 100,10,7,Joanne DURANT,BARBAR,11.82,0.242,,11.82,,BAR
